Ejecucion,Generacion,Mejor Aptitud
4,82,0.7524627380952332
4,83,0.7524627380952332
4,84,0.7524627380952332
4,85,0.7505019981995928
4,86,0.7485145989469068
4,87,0.7460806524783148
4,88,0.7460806524783148
4,89,0.741030439051156
4,90,0.741030439051156
4,91,0.7380088564459685
4,92,0.7325998023784193
4,93,0.7314980633481389
4,94,0.7308109345323217
4,95,0.7285650960469895
4,96,0.7285650960469895
4,97,0.7285650960469895
4,98,0.7266931036131062
4,99,0.7266931036131062
4,100,0.7256942658251226
5,0,0.8743537385237399
5,1,0.8743537385237399
5,2,0.8743537385237399
5,3,0.8708959341179207
5,4,0.8708959341179207
5,5,0.8706800115151847
5,6,0.8646814306739957
5,7,0.8646814306739957
5,8,0.8646814306739957
5,9,0.8646814306739957
5,10,0.864448846487707
5,11,0.8612070674589455
5,12,0.8557750725564164
5,13,0.8484896808302875
5,14,0.8460981426000188
5,15,0.8460981426000188
5,16,0.8460981426000188
5,17,0.8457139311378261
5,18,0.8457139311378261
5,19,0.8429370484602005
5,20,0.8429370484602005
5,21,0.837033023694959
5,22,0.8306382949641318
5,23,0.8306382949641318
5,24,0.8306382949641318
5,25,0.8306382949641318
5,26,0.8306382949641318
5,27,0.8275796987918348
5,28,0.8268847818002022
5,29,0.8268847818002022
5,30,0.8268847818002022
5,31,0.8175678318377565
5,32,0.8175678318377565
5,33,0.8175678318377565
5,34,0.8175678318377565
5,35,0.8175678318377565
5,36,0.8175678318377565
5,37,0.8175678318377565
5,38,0.8175678318377565
5,39,0.8144846553653651
5,40,0.8074176768691715
5,41,0.8074176768691715
5,42,0.8074176768691715
5,43,0.8036721536772967
5,44,0.8036721536772967
5,45,0.8027766502905833
5,46,0.7947957601680973
5,47,0.7947957601680973
5,48,0.7947957601680973
5,49,0.7925533030661684
5,50,0.7925533030661684
5,51,0.7925533030661684
5,52,0.7925533030661684
5,53,0.7925533030661684
5,54,0.7861038273688334
5,55,0.7861038273688334
5,56,0.7861038273688334
5,57,0.7841893647187822
5,58,0.7755701639366355
5,59,0.7755701639366355
5,60,0.7755701639366355
5,61,0.7755701639366355
5,62,0.7754251514329211
5,63,0.7754251514329211
5,64,0.7754251514329211
5,65,0.7724839241753386
5,66,0.7724839241753386
5,67,0.7724839241753386
5,68,0.7681044148669471
5,69,0.7603685129267196
5,70,0.7603685129267196
5,71,0.7603685129267196
5,72,0.7601233447904269
5,73,0.7601233447904269
5,74,0.753830509660199
5,75,0.753830509660199
5,76,0.753830509660199
5,77,0.7439554548071737
5,78,0.742936748803166
5,79,0.7401544538126184
5,80,0.7401544538126184
5,81,0.7362187624843353
5,82,0.7362187624843353
5,83,0.7362187624843353
5,84,0.73394196527331
5,85,0.73394196527331
5,86,0.73394196527331
5,87,0.7334302656587779
5,88,0.7334302656587779
5,89,0.7294215265855801
5,90,0.7250896567709786
5,91,0.7250896567709786
5,92,0.7250896567709786
5,93,0.7250896567709786
5,94,0.7250896567709786
5,95,0.7250896567709786
5,96,0.7249314261819261
5,97,0.7187031062690512
5,98,0.7187031062690512
5,99,0.7187031062690512
5,100,0.7187031062690512
6,0,0.8723246390866212
6,1,0.8705749272174177
6,2,0.8666220033938897
6,3,0.8666220033938897
6,4,0.8666220033938897
6,5,0.8665606940907046
6,6,0.8644847597072721
6,7,0.8644847597072721
6,8,0.8610773278958013
6,9,0.8610773278958013
6,10,0.8610773278958013
6,11,0.8505688701345318
6,12,0.8478381300893133
6,13,0.8478381300893133
6,14,0.8445439246876525
6,15,0.8445439246876525
6,16,0.8415078168758919
6,17,0.8379718575635202
6,18,0.8379718575635202
6,19,0.8348219723848537
6,20,0.8348219723848537
6,21,0.8325510970525426
6,22,0.8297251840652844
6,23,0.8297251840652844
6,24,0.8297251840652844
6,25,0.8271617794368257
6,26,0.8271617794368257
6,27,0.8199100583185518
6,28,0.8193627001402082
6,29,0.8193627001402082
6,30,0.8193627001402082
6,31,0.8193627001402082
6,32,0.8173926223130352
6,33,0.8173926223130352
6,34,0.8121115440090895
6,35,0.8113627842080897
6,36,0.8048208125872675
6,37,0.8048208125872675
6,38,0.8048208125872675
6,39,0.8048208125872675
6,40,0.8048208125872675
6,41,0.8048208125872675
6,42,0.8015006062717683
6,43,0.8015006062717683
6,44,0.8011351337251196
6,45,0.8011351337251196
6,46,0.8011351337251196
6,47,0.7995163374276856
6,48,0.79509784468436
6,49,0.79509784468436
6,50,0.7939110474241249
6,51,0.7939110474241249
6,52,0.7902131269656874
6,53,0.7902131269656874
6,54,0.7833015354175207
6,55,0.7833015354175207
6,56,0.7833015354175207
6,57,0.7833015354175207
6,58,0.7780176442657709
6,59,0.7737965302199697
6,60,0.7737965302199697
6,61,0.7737965302199697
6,62,0.7737965302199697
6,63,0.7737965302199697
6,64,0.7702743271243547
6,65,0.7659212343611348
6,66,0.7659212343611348
6,67,0.7650560639785833
6,68,0.7650560639785833
6,69,0.7627859192154774
6,70,0.7613393321673968
6,71,0.7576363071368325
6,72,0.7576363071368325
6,73,0.7576363071368325
6,74,0.755023653880321
6,75,0.7544771885452294
6,76,0.7536973088774049
6,77,0.7533973342463285
6,78,0.7505093090921391
6,79,0.7493752564540652
6,80,0.7469290993469968
6,81,0.7403774751100517
6,82,0.7403774751100517
6,83,0.7403774751100517
6,84,0.7361574250057501
6,85,0.7361574250057501
6,86,0.7361574250057501
6,87,0.7361574250057501
6,88,0.7347631764108995
6,89,0.7347631764108995
6,90,0.7325651645565375
6,91,0.7325651645565375
6,92,0.7296058936198946
6,93,0.7296058936198946
6,94,0.7286857793390439
6,95,0.7286857793390439
6,96,0.7286857793390439
6,97,0.7277540453813196
6,98,0.7244994387461368
6,99,0.7244994387461368
6,100,0.7239669110364543
7,0,0.8715436442542557
7,1,0.8700604125442907
7,2,0.8695059300550219
7,3,0.8651544930531547
7,4,0.8651544930531547
7,5,0.8651544930531547
7,6,0.8551360184565021
7,7,0.8513206497754812
7,8,0.8513206497754812
7,9,0.8513206497754812
7,10,0.8513206497754812
7,11,0.8487250459227162
7,12,0.8487250459227162
7,13,0.8465543670710858
7,14,0.843008120911664
7,15,0.843008120911664
7,16,0.8425136097843771
7,17,0.8425136097843771
7,18,0.8425136097843771
7,19,0.8411124107081005
7,20,0.8411124107081005
7,21,0.8310869425973147
7,22,0.8310869425973147
7,23,0.8310869425973147
7,24,0.8310869425973147
7,25,0.8310869425973147
7,26,0.8310869425973147
7,27,0.8290396530538635
7,28,0.8283172488074355
7,29,0.8263236503867826
7,30,0.8263236503867826
7,31,0.8263236503867826
7,32,0.8263236503867826
7,33,0.825064264242624
7,34,0.825064264242624
7,35,0.825064264242624
7,36,0.825064264242624
